Relation type to GLP-1 RA,Entity type,,,,Nodes (Entity type)
EATEN, Egg,,,,
EATEN, Rice Pudding,,,,
EATEN, Yogurt,,,,
EATEN, Pastrami,,,,
EATEN, White Bread Roll,,,,
EATEN, Bananas,,,,
EATEN, Multi Grain Bread,,,,
EATEN, Apple Juice,,,,
EATEN, Omelette,,,,
EATEN, Fat Free Cottage Cheese,,,,
EATEN, Dave'S Killer Bread Power Seed,,,,
EATEN, Chicken,,,,
EATEN, Vegetables,,,,
EATEN, Cauliflower Rice,,,,
EATEN, Fish,,,,
EATING, Rice,,,,
EATING, Crackers,,,,
EATING, Rice,,,,
EATING, Crackers,,,,
EATING_WINDOW, Eating Window,,,,
EATING_WINDOW, Eating Window,,,,
EATS, Normal Meals,,,,
EATS, Normal Meals,,,,
EFFECT_ON, User,,,,
EFFECT_ON, User,,,,
EFFECTIVE_FOR, 2 Hours,,,,
EFFECTIVE_FOR, 2 Hours,,,,
EFFECTIVENESS, Ir,,,,
EFFECTIVENESS, Ir,,,,
EFFECTS_ON, Yucky Effects,,,,
EFFECTS_ON, Yucky Effects,,,,
EMPLOYED, Weightlossstrategies,,,,
EMPLOYED, Weightlossstrategies,,,,
ENABLED_EATING_LESS, Success Story,,,,
ENABLED_EATING_LESS, Success Story,,,,
END_DATE,May 22,,,,
END_DATE,May 22,,,,
ENGAGED_IN, Travel,,,,
ENGAGED_IN, Work Out 5X A Week,,,,
ENGAGED_IN, Eat Clean,,,,
ENGAGED_IN, No Carbs,,,,
ENGAGED_IN, Powerlifting,,,,
ENGAGED_IN, Travel,,,,
ENGAGED_IN, Work Out 5X A Week,,,,
ENGAGED_IN, Eat Clean,,,,
ENGAGED_IN, No Carbs,,,,
ENGAGED_IN, Powerlifting,,,,
ENGAGES_IN, Exercise,,,,
ENGAGES_IN, Exercise,,,,
ENGAGES_IN, Journey,,,,
ENGAGES_IN, Exercise,,,,
ENGAGES_IN, Exercise,,,,
ENGAGES_IN, Journey,,,,
EVALUATED, Diarrhea,,,,
EVALUATED, Diarrhea,,,,
EVALUATED_FOR, Abdominal Pain,,,,
EVALUATED_FOR, Hair,,,,
EVALUATED_FOR, Abdominal Pain,,,,
EVALUATED_FOR, Abdominal Pain,,,,
EVALUATED_FOR, Hair,,,,
EVALUATED_FOR, Abdominal Pain,,,,
EXCLUDED_BY, Polyps,,,,
EXCLUDED_BY, Polyps,,,,
EXCLUDED_FROM, Graves,,,,
EXCLUDED_FROM, Graves,,,,
EXCLUDES, Carbs,,,,
EXCLUDES, Sugar,,,,
EXCLUDES, Carbs,,,,
EXCLUDES, Sugar,,,,
EXERCISE_FREQUENCY_WHEN_ON, Oz,,,,
EXERCISE_FREQUENCY_WHEN_ON, Oz,,,,
EXHIBITED, Isolation,,,,
EXHIBITED, Isolation,,,,
EXHIBITING, Emotional Eating,,,,
EXHIBITING, Emotional Eating,,,,
EXIT_FROM, Ozempic,,,,
EXIT_FROM, Ozempic,,,,
EXPECTED_ARRIVAL,1/17/23,,,,
EXPECTED_ARRIVAL,1/17/23,,,,
EXPECTED_BACK, Appetite,,,,
EXPECTED_BACK, Appetite,,,,
EXPECTED_RECEIVE_TIME, 3 Weeks,,,,
EXPECTED_RECEIVE_TIME, 3 Weeks,,,,
EXPECTED_TO_DECREASE, Joint Pain,,,,
EXPECTED_TO_DECREASE, Joint Pain,,,,
EXPERIENCED, Weight Loss,,,,
EXPERIENCED, Side Effects,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Weight_Loss,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Weightloss,,,,
EXPERIENCED, Side_Effects,,,,
EXPERIENCED, Appetite Reduction,,,,
EXPERIENCED, Heartburn,,,,
EXPERIENCED, Period,,,,
EXPERIENCED, Depression,,,,
EXPERIENCED, Overweight,,,,
EXPERIENCED, Tiredness,,,,
EXPERIENCED, Plateau,,,,
EXPERIENCED, Taste Change,,,,
EXPERIENCED, Sleep Issues,,,,
EXPERIENCED, Appetite Suppression,,,,
EXPERIENCED, Stomach/Intestinal Pains,,,,
EXPERIENCED, Weight Loss,,,,
EXPERIENCED, Side Effects,,,,
EXPERIENCED, Diabetes,,,,
EXPERIENCED, Weight_Loss,,,,
EXPERIENCED, Diarrhea,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Appetite,,,,
EXPERIENCED, Stomach Pains,,,,
EXPERIENCED, Weight Gain,,,,
EXPERIENCED, Menopause,,,,
EXPERIENCED, Palpitations,,,,
EXPERIENCED, Pandemic,,,,
EXPERIENCED, Parents Death,,,,
EXPERIENCED, Child Issues,,,,
EXPERIENCED, Heart Palpitations,,,,
EXPERIENCED, Menopause,,,,
EXPERIENCED, Long Haul,,,,
EXPERIENCED, Symptoms,,,,
EXPERIENCED, Starving,,,,
EXPERIENCED, Abdominal Cramps,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Diarrhea,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Acid Reflux,,,,
EXPERIENCED, Stomach Pain,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Abdominal Pain,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Weight Gain,,,,
EXPERIENCED, Symptoms,,,,
EXPERIENCED, Passive Suicidal Ideation,,,,
EXPERIENCED, Weight_Loss,,,,
EXPERIENCED, Stomach Pains,,,,
EXPERIENCED, Heartburn,,,,
EXPERIENCED, Upper Abdomen Pain,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Diarrhea,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Bug,,,,
EXPERIENCED, Dizziness,,,,
EXPERIENCED, Anxiety,,,,
EXPERIENCED, Lightheaded,,,,
EXPERIENCED, Foggy,,,,
EXPERIENCED, Cold,,,,
EXPERIENCED, Pregnancy,,,,
EXPERIENCED, Weight Loss,,,,
EXPERIENCED, Side Effects,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Weight_Loss,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Weightloss,,,,
EXPERIENCED, Side_Effects,,,,
EXPERIENCED, Appetite Reduction,,,,
EXPERIENCED, Heartburn,,,,
EXPERIENCED, Period,,,,
EXPERIENCED, Depression,,,,
EXPERIENCED, Overweight,,,,
EXPERIENCED, Tiredness,,,,
EXPERIENCED, Plateau,,,,
EXPERIENCED, Taste Change,,,,
EXPERIENCED, Sleep Issues,,,,
EXPERIENCED, Appetite Suppression,,,,
EXPERIENCED, Stomach/Intestinal Pains,,,,
EXPERIENCED, Weight Loss,,,,
EXPERIENCED, Side Effects,,,,
EXPERIENCED, Diabetes,,,,
EXPERIENCED, Weight_Loss,,,,
EXPERIENCED, Diarrhea,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Appetite,,,,
EXPERIENCED, Stomach Pains,,,,
EXPERIENCED, Weight Gain,,,,
EXPERIENCED, Menopause,,,,
EXPERIENCED, Palpitations,,,,
EXPERIENCED, Pandemic,,,,
EXPERIENCED, Parents Death,,,,
EXPERIENCED, Child Issues,,,,
EXPERIENCED, Heart Palpitations,,,,
EXPERIENCED, Menopause,,,,
EXPERIENCED, Long Haul,,,,
EXPERIENCED, Symptoms,,,,
EXPERIENCED, Starving,,,,
EXPERIENCED, Abdominal Cramps,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Diarrhea,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Acid Reflux,,,,
EXPERIENCED, Stomach Pain,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Abdominal Pain,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Weight Gain,,,,
EXPERIENCED, Symptoms,,,,
EXPERIENCED, Passive Suicidal Ideation,,,,
EXPERIENCED, Weight_Loss,,,,
EXPERIENCED, Stomach Pains,,,,
EXPERIENCED, Heartburn,,,,
EXPERIENCED, Upper Abdomen Pain,,,,
EXPERIENCED, Nausea,,,,
EXPERIENCED, Diarrhea,,,,
EXPERIENCED, Vomiting,,,,
EXPERIENCED, Bug,,,,
EXPERIENCED, Dizziness,,,,
EXPERIENCED, Anxiety,,,,
EXPERIENCED, Lightheaded,,,,
EXPERIENCED, Foggy,,,,
EXPERIENCED, Cold,,,,
EXPERIENCED, Pregnancy,,,,
EXPERIENCED_AT,1,,,,
EXPERIENCED_AT,1,,,,
EXPERIENCED_AT,1,,,,
EXPERIENCED_AT,1,,,,
17 Lbs,USED_FOR,,,,
EXPERIENCED_FOR, 16 Weeks,,,,
EXPERIENCED_FOR, 16 Weeks,,,,
EXPERIENCED_ON, Thursday,,,,
EXPERIENCED_ON, Thursday,,,,
EXPERIENCED_OUTCOME, Weight_Loss,,,,
EXPERIENCED_OUTCOME, Weight_Loss,,,,
EXPERIENCED_REBOUND, Weight Loss,,,,
EXPERIENCED_REBOUND, Weight Loss,,,,
EXPERIENCED_SIDE_EFFECTS, Ozempic,,,,
EXPERIENCED_SIDE_EFFECTS, Ozempic,,,,
EXPERIENCED_WEIGHT_LOSS, Ozempic,,,,
EXPERIENCED_WEIGHT_LOSS, Ozempic,,,,
EXPERIENCES, Weight Loss,,,,
EXPERIENCES, Side Effects,,,,
EXPERIENCES, Nausea,,,,
EXPERIENCES, Abdominal Pain,,,,
EXPERIENCES, Diarrhea,,,,
EXPERIENCES, Vomiting,,,,
EXPERIENCES, Sideeffects,,,,
EXPERIENCES, Hunger,,,,
EXPERIENCES, Burping,,,,
EXPERIENCES, Satiation_Issue,,,,
EXPERIENCES, Sideeffects,,,,
EXPERIENCES, Hypoglycemia,,,,
EXPERIENCES, Distendedstomach,,,,
EXPERIENCES, Dehydration,,,,
EXPERIENCES, Weightloss,,,,
EXPERIENCES, Fear Of Injecting,,,,
EXPERIENCES, Symptoms,,,,
EXPERIENCES, Tiredness,,,,
EXPERIENCES, Anxiety Episodes,,,,
EXPERIENCES, Stress,,,,
EXPERIENCES, Medication,,,,
EXPERIENCES, Tachycardic_Episode,,,,
EXPERIENCES, Nightmares,,,,
EXPERIENCES, Extreme Fatigue,,,,
EXPERIENCES, Dizziness,,,,
EXPERIENCES, Weight Loss,,,,
EXPERIENCES, Nausea,,,,
EXPERIENCES, Diarrhea,,,,
EXPERIENCES, Side Effects,,,,
EXPERIENCES, Numbness,,,,
EXPERIENCES, Itchiness,,,,
EXPERIENCES, Tingling,,,,
EXPERIENCES, Insecurity,,,,
EXPERIENCES, Stomach Pains,,,,
EXPERIENCES, Slow Transit Constipation,,,,
EXPERIENCES, Weight Loss,,,,
EXPERIENCES, Side Effects,,,,
EXPERIENCES, Nausea,,,,
EXPERIENCES, Abdominal Pain,,,,
EXPERIENCES, Diarrhea,,,,
EXPERIENCES, Vomiting,,,,
EXPERIENCES, Sideeffects,,,,
EXPERIENCES, Hunger,,,,
INCREASED_TO, Ozempic 0.5Mg,,,,
EXPERIENCES, Burping,,,,
EXPERIENCES, Satiation_Issue,,,,
EXPERIENCES, Sideeffects,,,,
EXPERIENCES, Hypoglycemia,,,,
EXPERIENCES, Distendedstomach,,,,
EXPERIENCES, Dehydration,,,,
EXPERIENCES, Weightloss,,,,
EXPERIENCES, Fear Of Injecting,,,,
EXPERIENCES, Symptoms,,,,
EXPERIENCES, Tiredness,,,,
EXPERIENCES, Anxiety Episodes,,,,
EXPERIENCES, Stress,,,,
EXPERIENCES, Medication,,,,
EXPERIENCES, Tachycardic_Episode,,,,
EXPERIENCES, Nightmares,,,,
EXPERIENCES, Extreme Fatigue,,,,
EXPERIENCES, Dizziness,,,,
EXPERIENCES, Weight Loss,,,,
EXPERIENCES, Nausea,,,,
EXPERIENCES, Diarrhea,,,,
EXPERIENCES, Side Effects,,,,
EXPERIENCES, Numbness,,,,
EXPERIENCES, Itchiness,,,,
EXPERIENCES, Tingling,,,,
EXPERIENCES, Insecurity,,,,
EXPERIENCES, Stomach Pains,,,,
EXPERIENCES, Slow Transit Constipation,,,,
EXPERIENCES_CONDITION, Lethargy,,,,
EXPERIENCES_CONDITION, Lack Of Energy,,,,
EXPERIENCES_CONDITION, Lethargy,,,,
EXPERIENCES_CONDITION, Lack Of Energy,,,,
EXPERIENCING, Weight Loss,,,,
EXPERIENCING, Side Effects,,,,
EXPERIENCING, Pain,,,,
EXPERIENCING, Gas,,,,
EXPERIENCING, Fatigue,,,,
EXPERIENCING, Insurance Issue,,,,
EXPERIENCING, Hunger,,,,
EXPERIENCING, Acid Reflux,,,,
EXPERIENCING, Bloating,,,,
EXPERIENCING, Burping,,,,
EXPERIENCING, Hair Loss,,,,
EXPERIENCING, Back Pain,,,,
EXPERIENCING, Diet Change,,,,
EXPERIENCING, Divorce,,,,
EXPERIENCING, Anxiety,,,,
EXPERIENCING, Depression,,,,
EXPERIENCING, Weight_Loss,,,,
EXPERIENCING, Side Effects,,,,
EXPERIENCING, Brain Fog,,,,
EXPERIENCING, Weight Loss,,,,
EXPERIENCING, Side Effects,,,,
EXPERIENCING, Pain,,,,
EXPERIENCING, Gas,,,,
EXPERIENCING, Fatigue,,,,
EXPERIENCING, Insurance Issue,,,,
EXPERIENCING, Hunger,,,,
EXPERIENCING, Acid Reflux,,,,
EXPERIENCING, Bloating,,,,
EXPERIENCING, Burping,,,,
EXPERIENCING, Hair Loss,,,,
EXPERIENCING, Back Pain,,,,
EXPERIENCING, Diet Change,,,,
EXPERIENCING, Divorce,,,,
EXPERIENCING, Anxiety,,,,
EXPERIENCING, Depression,,,,
EXPERIENCING, Weight_Loss,,,,
EXPERIENCING, Side Effects,,,,
EXPERIENCING, Brain Fog,,,,
EXPERIENCING_ISSUES_WITH, Adhd,,,,
EXPERIENCING_ISSUES_WITH, Adhd,,,,
EXPOSED_TO, Pep,,,,
EXPOSED_TO, Pep,,,,
FAT_LOSS, 2 Lbs,,,,
FAT_LOSS, 2 Lbs,,,,
FEAR_OF, Side Effects,,,,
FEAR_OF, Side Effects,,,,
FEARS, Weight Gain,,,,
FEARS, Weight Gain,,,,
FEARS, Weight Gain,,,,
FEARS, Weight Gain,,,,
FEELING_BETTER, Me,,,,
FEELING_BETTER, Me,,,,
FEELS, Insanity,,,,
FEELS, Discouragement,,,,
FEELS, Insanity,,,,
FEELS, Discouragement,,,,
FILLED, Ozempic,,,,
FILLED, Ozempic,,,,
FILLED_FOR, Ozempic,,,,
FILLED_FOR, Ozempic,,,,
FILLED_IN, Canada,,,,
FILLED_IN, Canada,,,,
FIRST_DOSE, Oz,,,,
FIRST_DOSE, Ozempic,,,,
FIRST_DOSE, Oz,,,,
FIRST_DOSE, Ozempic,,,,
FIXED, Sleep,,,,
FIXED, Sleep,,,,
FOCUSES_ON, Nutrition & Health,,,,
FOCUSES_ON, Nutrition & Health,,,,
FOLLOWED_BY, Recovery,,,,
FOLLOWED_BY, 0.5 Mg Dose,,,,
FOLLOWED_BY, Recovery,,,,
FOLLOWED_BY, 0.5 Mg Dose,,,,
FOLLOWING, Macros,,,,
FOLLOWING, Macros,,,,
FOLLOWS, Keto Diet,,,,
FOLLOWS, Calibrate,,,,
FOLLOWS, High Protein,,,,
FOLLOWS, Keto Diet,,,,
FOLLOWS, Calibrate,,,,
FOLLOWS, High Protein,,,,
FOLLOWS_UP_WITH, Endocrinologist,,,,
FOLLOWS_UP_WITH, Endocrinologist,,,,
FOR, Ozempic,,,,
FOR, Ozempic,,,,
FOUND_SLUDGE, Gallbladder,,,,
FOUND_SLUDGE, Gallbladder,,,,
FROM,227,,,,
FROM,227,,,,
FULL_ROTATION_FOR, 1_Mg_Dose,,,,
FULL_ROTATION_FOR, 1_Mg_Dose,,,,
GAINED, Weightloss,,,,
GAINED, Weightloss,,,,
GAVE_BIRTH_TO, First Child,,,,
GAVE_BIRTH_TO, First Child,,,,
GIVES_ADVICE, Portion Sizes,,,,
GIVES_ADVICE, Portion Sizes,,,,
GOAL,10,,,,
GOAL, 125 Lbs,,,,
GOAL,10,,,,
GOAL, 125 Lbs,,,,
GOAL_WEIGHT, Goal Weight,,,,
GOAL_WEIGHT, 295Lbs,,,,
GOAL_WEIGHT, Goal Weight,,,,
GOAL_WEIGHT, 295Lbs,,,,
GOING_OFF, 1.5 Months,,,,
GOING_OFF, 1.5 Months,,,,
HAD, Labs,,,,
HAD, Ct Scan,,,,
HAD, Labs,,,,
HAD, Ct Scan,,,,
HAD_RELATIONSHIP_WITH, Pharmacist,,,,
HAD_RELATIONSHIP_WITH, Pharmacist,,,,
HAS, Side Effects,,,,
HAS, Side_Effects,,,,
HAS, Prescription,,,,
HAS, Diabetes,,,,
HAS, Fatigue,,,,
HAS, Depression,,,,
HAS, Fridge,,,,
HAS, Boxes,,,,
HAS, Age,,,,
HAS, Insurance,,,,
HAS, Pcos,,,,
HAS, Obesity,,,,
HAS, Phobia Of Throwing Up,,,,
HAS, Energy,,,,
HAS, Sedentary Job,,,,
HAS, Bmi 33,,,,
HAS, 5'10,,,,
HAS, Weight 230Lbs,,,,
HAS, Low Testosterone,,,,
HAS, Bitchy Mood,,,,
HAS, 3 Or 4 Pounds Lost,,,,
HAS, Testosterone 164,,,,
HAS, Disordered_Eating,,,,
HAS, 2 Kids,,,,
HAS, Mechanism Of Action,,,,
HAS, Diabetes,,,,
HAS, Weight Gain,,,,
HAS, Insulin Resistance,,,,
HAS, 5’7,,,,
HAS, Anxiety,,,,
HAS, Bmi 29,,,,
HAS, Occupation,,,,
HAS, Nurse,,,,
HAS, 180 Lbs,,,,
HAS, 150 Lbs,,,,
HAS, Insulin_Resistance,,,,
HAS, Side Effects,,,,
HAS, Side_Effects,,,,
HAS, Prescription,,,,
HAS, Diabetes,,,,
HAS, Fatigue,,,,
HAS, Depression,,,,
HAS, Fridge,,,,
HAS, Boxes,,,,
HAS, Age,,,,
HAS, Insurance,,,,
HAS, Pcos,,,,
HAS, Obesity,,,,
HAS, Phobia Of Throwing Up,,,,
HAS, Energy,,,,
HAS, Sedentary Job,,,,
HAS, Bmi 33,,,,
HAS, 5'10,,,,
HAS, Weight 230Lbs,,,,
HAS, Low Testosterone,,,,
HAS, Bitchy Mood,,,,
HAS, 3 Or 4 Pounds Lost,,,,
HAS, Testosterone 164,,,,
HAS, Disordered_Eating,,,,
HAS, 2 Kids,,,,
HAS, Mechanism Of Action,,,,
HAS, Diabetes,,,,
HAS, Weight Gain,,,,
HAS, Insulin Resistance,,,,
HAS, 5’7,,,,
HAS, Anxiety,,,,
HAS, Bmi 29,,,,
HAS, Occupation,,,,
HAS, Nurse,,,,
HAS, 180 Lbs,,,,
HAS, 150 Lbs,,,,
HAS, Insulin_Resistance,,,,
HAS_AGE, 28 Years Old,,,,
HAS_AGE, 29 Years Old,,,,
HAS_AGE, 28 Years Old,,,,
HAS_AGE, 29 Years Old,,,,
HAS_AMOUNT, 41.3 Kg,,,,
HAS_AMOUNT, 91 Pounds,,,,
HAS_AMOUNT, 41.3 Kg,,,,
HAS_AMOUNT, 91 Pounds,,,,
HAS_BACK_ORDER, Ozempic,,,,
HAS_BACK_ORDER, Ozempic,,,,
HAS_BREAK, 5 Week Break,,,,
HAS_BREAK, 5 Week Break,,,,
HAS_CAUSE, Shortage,,,,
HAS_CAUSE, Shortage,,,,
HAS_COMORBIDITY, Comorbidity,,,,
HAS_COMORBIDITY, Comorbidity,,,,
HAS_CONCEPT, 5'6,,,,
HAS_CONCEPT, Fat,,,,
HAS_CONCEPT, Body Weight,,,,
HAS_CONCEPT, Muscle Base,,,,
HAS_CONCEPT, Size 16,,,,
HAS_CONCEPT, 240 Lbs,,,,
HAS_CONCEPT, 5'6,,,,
HAS_CONCEPT, Fat,,,,
HAS_CONCEPT, Body Weight,,,,
HAS_CONCEPT, Muscle Base,,,,
HAS_CONCEPT, Size 16,,,,
HAS_CONCEPT, 240 Lbs,,,,
HAS_CONDITION, Non Diabetic,,,,
HAS_CONDITION, High Male Hormones,,,,
HAS_CONDITION, Insulin Resistant,,,,
HAS_CONDITION, Perimenopause,,,,
HAS_CONDITION, T2 Diabetes,,,,
HAS_CONDITION, Adhd,,,,
HAS_CONDITION, Autism,,,,
HAS_CONDITION, Arfid,,,,
HAS_CONDITION, T1D,,,,
HAS_CONDITION, Colitis,,,,
HAS_CONDITION, Pregnancy,,,,
HAS_CONDITION, Diabetes,,,,
HAS_CONDITION, Type 2 Diabetes,,,,
HAS_CONDITION, Overweight,,,,
HAS_CONDITION, Insurance Issues,,,,
HAS_CONDITION, Clinical Depression,,,,
HAS_CONDITION, General Anxiety Disorder,,,,
HAS_CONDITION, Gestational Diabetes,,,,
HAS_CONDITION, Post,,,,
HAS_CONDITION, Tachy_Arrhythmia,,,,
HAS_CONDITION, Vt,,,,
HAS_CONDITION, Covid,,,,
HAS_CONDITION, Pcos W/ Insulin Resistance,,,,
HAS_CONDITION, Pcos,,,,
HAS_CONDITION, Insulin_Resistance,,,,
HAS_CONDITION, Weight_Issues,,,,
HAS_CONDITION, Arthritis,,,,
HAS_CONDITION, Ankle_Issue,,,,
HAS_CONDITION, Slow_Metabolism,,,,
HAS_CONDITION, Hypo_Thyroid,,,,
HAS_CONDITION, Type 2 Diabetes,,,,
HAS_CONDITION, Pcos,,,,
HAS_CONDITION, Asthma,,,,
HAS_CONDITION, Anxiety,,,,
HAS_CONDITION, Hashimoto'S,,,,
HAS_CONDITION, Depressive Episodes,,,,
HAS_CONDITION, Peri_Menopausal,,,,
HAS_CONDITION, Type 2 Diabetes,,,,
HAS_CONDITION, Pre,,,,
HAS_CONDITION, Dehydration,,,,
HAS_CONDITION, Pcos,,,,
HAS_CONDITION, Knee Injury,,,,
HAS_CONDITION, Chronic Pain,,,,
HAS_CONDITION, Non Diabetic,,,,
HAS_CONDITION, High Male Hormones,,,,
HAS_CONDITION, Insulin Resistant,,,,
HAS_CONDITION, Perimenopause,,,,
HAS_CONDITION, T2 Diabetes,,,,
HAS_CONDITION, Adhd,,,,
HAS_CONDITION, Autism,,,,
HAS_CONDITION, Arfid,,,,
HAS_CONDITION, T1D,,,,
HAS_CONDITION, Colitis,,,,
HAS_CONDITION, Pregnancy,,,,
HAS_CONDITION, Diabetes,,,,
HAS_CONDITION, Type 2 Diabetes,,,,
HAS_CONDITION, Overweight,,,,
HAS_CONDITION, Insurance Issues,,,,
HAS_CONDITION, Clinical Depression,,,,
HAS_CONDITION, General Anxiety Disorder,,,,
HAS_CONDITION, Gestational Diabetes,,,,
HAS_CONDITION, Post,,,,
HAS_CONDITION, Tachy_Arrhythmia,,,,
HAS_CONDITION, Vt,,,,
HAS_CONDITION, Covid,,,,
HAS_CONDITION, Pcos W/ Insulin Resistance,,,,
HAS_CONDITION, Pcos,,,,
HAS_CONDITION, Insulin_Resistance,,,,
HAS_CONDITION, Weight_Issues,,,,
HAS_CONDITION, Arthritis,,,,
HAS_CONDITION, Ankle_Issue,,,,
HAS_CONDITION, Slow_Metabolism,,,,
HAS_CONDITION, Hypo_Thyroid,,,,
HAS_CONDITION, Type 2 Diabetes,,,,
HAS_CONDITION, Pcos,,,,
HAS_CONDITION, Asthma,,,,
HAS_CONDITION, Anxiety,,,,
HAS_CONDITION, Hashimoto'S,,,,
HAS_CONDITION, Depressive Episodes,,,,
HAS_CONDITION, Peri_Menopausal,,,,
HAS_CONDITION, Type 2 Diabetes,,,,
HAS_CONDITION, Pre,,,,
HAS_CONDITION, Dehydration,,,,
HAS_CONDITION, Pcos,,,,
HAS_CONDITION, Knee Injury,,,,
HAS_CONDITION, Chronic Pain,,,,
HAS_CURRENT_WEIGHT, Currentweight,,,,
HAS_CURRENT_WEIGHT, Currentweight,,,,
HAS_DIET, Caloric Intake,,,,
HAS_DIET, Caloric Intake,,,,
HAS_DOCTOR, Pcp,,,,
HAS_DOCTOR, Endocrinologist,,,,
HAS_DOCTOR, Pcp,,,,
HAS_DOCTOR, Endocrinologist,,,,
HAS_DOSAGE, 1Mg,,,,
HAS_DOSAGE, 0.5Mg,,,,
HAS_DOSAGE, 1Mg Dosage,,,,
HAS_DOSAGE,0.25,,,,
HAS_DOSAGE,1,,,,
HAS_DOSAGE,0.5,,,,
HAS_DOSAGE, 1Mg Ozempic,,,,
HAS_DOSAGE, 0.25Mg Ozempic,,,,
HAS_DOSAGE, 0.5Mg Ozempic,,,,
HAS_DOSAGE, .50 Dosage,,,,
HAS_DOSAGE, .25 Dosage,,,,
HAS_DOSAGE, Dose,,,,
HAS_DOSAGE, .50 Mg,,,,
HAS_DOSAGE, 0.25 Mg,,,,
HAS_DOSAGE, 1.0 Mg,,,,
HAS_DOSAGE, 2 Mg,,,,
HAS_DOSAGE, .50Mg,,,,
HAS_DOSAGE, 1.5Mg,,,,
HAS_DOSAGE,2,,,,
HAS_DOSAGE, 2Mg,,,,
HAS_DOSAGE, 0.5 Mg,,,,
HAS_DOSAGE, 2 Mg Dose,,,,
HAS_DOSAGE, 1 Mg/Week,,,,
HAS_DOSAGE, 0.25 Mg,,,,
HAS_DOSAGE, Injection,,,,
HAS_DOSAGE, Medication,,,,
HAS_DOSAGE, 1 Mg,,,,
HAS_DOSAGE, 0.75 Mg,,,,
HAS_DOSAGE, 0.5 Mg,,,,
HAS_DOSAGE, 1Mg,,,,
HAS_DOSAGE, 0.5Mg,,,,
HAS_DOSAGE, 1Mg Dosage,,,,
HAS_DOSAGE,0.25,,,,
HAS_DOSAGE,1,,,,
HAS_DOSAGE,0.5,,,,
HAS_DOSAGE, 1Mg Ozempic,,,,
HAS_DOSAGE, 0.25Mg Ozempic,,,,
HAS_DOSAGE, 0.5Mg Ozempic,,,,
HAS_DOSAGE, .50 Dosage,,,,
HAS_DOSAGE, .25 Dosage,,,,
HAS_DOSAGE, Dose,,,,
HAS_DOSAGE, .50 Mg,,,,
HAS_DOSAGE, 0.25 Mg,,,,
HAS_DOSAGE, 1.0 Mg,,,,
HAS_DOSAGE, 2 Mg,,,,
HAS_DOSAGE, .50Mg,,,,
HAS_DOSAGE, 1.5Mg,,,,
HAS_DOSAGE,2,,,,
HAS_DOSAGE, 2Mg,,,,
HAS_DOSAGE, 0.5 Mg,,,,
HAS_DOSAGE, 2 Mg Dose,,,,
HAS_DOSAGE, 1 Mg/Week,,,,
HAS_DOSAGE, 0.25 Mg,,,,
HAS_DOSAGE, Injection,,,,
HAS_DOSAGE, Medication,,,,
HAS_DOSAGE, 1 Mg,,,,
HAS_DOSAGE, 0.75 Mg,,,,
HAS_DOSAGE, 0.5 Mg,,,,
HAS_DOSE, 0.5_Dose,,,,
HAS_DOSE, 1Mg Dose,,,,
HAS_DOSE, Larger Pen,,,,
HAS_DOSE, Smaller Dose,,,,
HAS_DOSE, 0.25Mg,,,,
HAS_DOSE, 0.07Mg,,,,
HAS_DOSE, 0.14Mg,,,,
HAS_DOSE, 2Mg Dose,,,,
HAS_DOSE, 1Mg,,,,
HAS_DOSE, 0.5Mg,,,,
HAS_DOSE, 0.25Mg,,,,
HAS_DOSE, 0.25Mg,,,,
HAS_DOSE, 0.25Mg,,,,
HAS_DOSE, 0.25Mg,,,,
HAS_DOSE, 0.50Mg,,,,
HAS_DOSE, 0.50Mg,,,,
HAS_DOSE, 0.50Mg,,,,
HAS_DOSE, 0.50Mg,,,,
HAS_DOSE, 0.50Mg,,,,
HAS_DOSE, 0.50Mg,,,,
HAS_DOSE, 0.75Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
HAS_DOSE, 1.00Mg,,,,
